study_folder,file_name,variable_name,file_type,variable_group
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_cookie,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_cookie,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_cookie,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_cookie,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,group,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,id,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_appearance,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_desire,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_odor,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_taste,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_texture,sss,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,alert_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,alert_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,anxiety_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,anxiety_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cho_perc_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cond,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_perc_din,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fat_perc_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,friend,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fullness_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fullness_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,hunger_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,hunger_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,id,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,nauseous_post,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,nauseous_pre,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,pro_perc_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,prosp_cons_post,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,prosp_cons_pre,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,relaxed_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,relaxed_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,rest,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sesnum,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sex,intake,other
