file_path,file_name,study_folder,file_type
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-04db_assay-microstructure_cond-deprivaiton.csv",sub-04db_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-0a40_assay-microstructure_cond-control.csv",sub-0a40_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-0a40_assay-microstructure_cond-deprivaiton.csv",sub-0a40_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-0a94_assay-microstructure_cond-control.csv",sub-0a94_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-0a94_assay-microstructure_cond-deprivaiton.csv",sub-0a94_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-10bb_assay-microstructure_cond-control.csv",sub-10bb_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-10bb_assay-microstructure_cond-deprivaiton.csv",sub-10bb_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-13c8_assay-microstructure_cond-control.csv",sub-13c8_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-13c8_assay-microstructure_cond-deprivaiton.csv",sub-13c8_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-159b_assay-microstructure_cond-control.csv",sub-159b_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-159b_assay-microstructure_cond-deprivaiton.csv",sub-159b_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-1cac_assay-microstructure_cond-control.csv",sub-1cac_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-1cac_assay-microstructure_cond-deprivaiton.csv",sub-1cac_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-1f20_assay-microstructure_cond-control.csv",sub-1f20_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-1f20_assay-microstructure_cond-deprivaiton.csv",sub-1f20_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-20e1_assay-microstructure_cond-control.csv",sub-20e1_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-20e1_assay-microstructure_cond-deprivaiton.csv",sub-20e1_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-291b_assay-microstructure_cond-control.csv",sub-291b_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-291b_assay-microstructure_cond-deprivaiton.csv",sub-291b_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-2ed4_assay-microstructure_cond-control.csv",sub-2ed4_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-2ed4_assay-microstructure_cond-deprivaiton.csv",sub-2ed4_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-408d_assay-microstructure_cond-control.csv",sub-408d_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-408d_assay-microstructure_cond-deprivaiton.csv",sub-408d_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-42c5_assay-microstructure_cond-control.csv",sub-42c5_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-42c5_assay-microstructure_cond-deprivaiton.csv",sub-42c5_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-44e6_assay-microstructure_cond-control.csv",sub-44e6_assay-microstructure_cond-control.csv,data,microstructure
