study_folder,file_name,n_rows,n_variables,total_missing,percent_missing_overall,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete,intake_macros_computed
data,sub-d706_assay-microstructure_cond-control.csv,137,18,1096,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-d706_assay-microstructure_cond-deprivaiton.csv,157,18,1256,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-da6e_assay-microstructure_timepoint-a.csv,230,9,0,0,0,0% - 0%,230,1,No
data,sub-da6e_assay-microstructure_timepoint-b.csv,209,9,0,0,0,0% - 0%,209,1,No
data,sub-dc6d_assay-microstructure_cond-control.csv,28,18,224,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-dc6d_assay-microstructure_cond-deprivaiton.csv,21,18,168,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-de79_assay-microstructure_cond-control.csv,131,18,1043,44.23,44.23,44.23% - 44.23%,0,0,No
data,sub-de79_assay-microstructure_cond-deprivaiton.csv,187,18,1496,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-df5d_assay-microstructure_cond-control.csv,55,18,440,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-df5d_assay-microstructure_cond-deprivaiton.csv,115,18,920,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e3c3_assay-microstructure_cond-control.csv,180,18,1440,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e3c3_assay-microstructure_cond-deprivaiton.csv,184,18,1472,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e6b2_assay-microstructure_timepoint-a.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-e6b2_assay-microstructure_timepoint-b.csv,152,9,0,0,0,0% - 0%,152,1,No
data,sub-e7ac_assay-microstructure_cond-control.csv,91,18,728,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e7ac_assay-microstructure_cond-deprivaiton.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e7dc_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-e7dc_assay-microstructure_timepoint-b.csv,123,9,0,0,0,0% - 0%,123,1,No
data,sub-e874_assay-microstructure_cond-control.csv,97,18,776,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-e874_assay-microstructure_cond-deprivaiton.csv,117,18,936,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-eac6_assay-microstructure_timepoint-a.csv,230,9,0,0,0,0% - 0%,230,1,No
data,sub-eac6_assay-microstructure_timepoint-b.csv,209,9,0,0,0,0% - 0%,209,1,No
data,sub-ef17_assay-microstructure_cond-control.csv,112,18,896,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-ef17_assay-microstructure_cond-deprivaiton.csv,126,18,1016,44.8,44.8,44.8% - 44.8%,0,0,No
data,sub-f1e2_assay-microstructure_timepoint-a.csv,120,9,0,0,0,0% - 0%,120,1,No
data,sub-f1e2_assay-microstructure_timepoint-b.csv,93,9,0,0,0,0% - 0%,93,1,No
data,sub-f47d_assay-microstructure_cond-control.csv,60,18,480,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-f47d_assay-microstructure_cond-deprivaiton.csv,56,18,448,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-f5ab_assay-microstructure_cond-control.csv,36,14,216,42.86,42.86,42.86% - 42.86%,0,0,No
data,sub-f5ab_assay-microstructure_cond-deprivaiton.csv,58,14,348,42.86,42.86,42.86% - 42.86%,0,0,No
