study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,780,0,0,0,0.00% - 0.00%,195,195
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-control.csv,All data,10,1270,0,0,0,0.00% - 0.00%,127,127
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-control.csv,Questionnaire data,4,508,0,0,0,0.00% - 0.00%,127,127
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-deprivaiton.csv,All data,10,2240,0,0,0,0.00% - 0.00%,224,224
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,896,0,0,0,0.00% - 0.00%,224,224
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-control.csv,All data,10,800,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-control.csv,Questionnaire data,4,320,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-deprivaiton.csv,All data,10,560,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,224,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-control.csv,All data,10,1140,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-control.csv,Questionnaire data,4,456,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-deprivaiton.csv,All data,10,1700,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,680,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-control.csv,All data,10,1140,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-control.csv,Questionnaire data,4,456,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-deprivaiton.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-control.csv,All data,10,600,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-control.csv,Questionnaire data,4,240,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-deprivaiton.csv,All data,10,560,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,224,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-control.csv,All data,10,1800,0,0,0,0.00% - 0.00%,180,180
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-control.csv,Questionnaire data,4,720,0,0,0,0.00% - 0.00%,180,180
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-deprivaiton.csv,All data,10,1840,0,0,0,0.00% - 0.00%,184,184
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,736,0,0,0,0.00% - 0.00%,184,184
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-control.csv,All data,10,1100,0,0,0,0.00% - 0.00%,110,110
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-control.csv,Questionnaire data,4,440,0,0,0,0.00% - 0.00%,110,110
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-deprivaiton.csv,All data,10,970,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,388,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-control.csv,All data,9,792,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-control.csv,Questionnaire data,4,352,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-deprivaiton.csv,All data,9,1260,0,0,0,0.00% - 0.00%,140,140
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,560,0,0,0,0.00% - 0.00%,140,140
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-control.csv,All data,15,1965,650,33.08,33.08,0.00% - 33.33%,1,1
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-control.csv,Questionnaire data,4,524,0,0,0,0.00% - 0.00%,131,131
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-deprivaiton.csv,All data,10,1870,0,0,0,0.00% - 0.00%,187,187
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,748,0,0,0,0.00% - 0.00%,187,187
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-control.csv,All data,10,1700,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-control.csv,Questionnaire data,4,680,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-deprivaiton.csv,All data,10,2610,0,0,0,0.00% - 0.00%,261,261
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,1044,0,0,0,0.00% - 0.00%,261,261
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-control.csv,All data,8,288,0,0,0,0.00% - 0.00%,36,36
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-control.csv,Questionnaire data,3,108,0,0,0,0.00% - 0.00%,36,36
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-deprivaiton.csv,All data,8,464,0,0,0,0.00% - 0.00%,58,58
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,3,174,0,0,0,0.00% - 0.00%,58,58
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-control.csv,All data,10,1030,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-control.csv,Questionnaire data,4,412,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-deprivaiton.csv,All data,10,1030,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,412,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-control.csv,All data,10,1140,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-control.csv,Questionnaire data,4,456,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-deprivaiton.csv,All data,10,1700,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,680,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-control.csv,All data,10,590,0,0,0,0.00% - 0.00%,59,59
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-control.csv,Questionnaire data,4,236,0,0,0,0.00% - 0.00%,59,59
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-deprivaiton.csv,All data,10,770,0,0,0,0.00% - 0.00%,77,77
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,308,0,0,0,0.00% - 0.00%,77,77
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-control.csv,All data,10,280,0,0,0,0.00% - 0.00%,28,28
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-control.csv,Questionnaire data,4,112,0,0,0,0.00% - 0.00%,28,28
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-deprivaiton.csv,All data,10,210,0,0,0,0.00% - 0.00%,21,21
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,84,0,0,0,0.00% - 0.00%,21,21
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-control.csv,All data,8,1152,64,5.56,5.56,0.00% - 12.50%,80,144
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-control.csv,Questionnaire data,3,432,64,14.81,14.81,0.00% - 33.33%,80,80
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-deprivaiton.csv,All data,8,760,53,6.97,6.97,0.00% - 12.50%,42,95
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,3,285,53,18.6,18.6,0.00% - 33.33%,42,42
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-control.csv,All data,10,1030,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-control.csv,Questionnaire data,4,412,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-deprivaiton.csv,All data,10,1030,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,412,0,0,0,0.00% - 0.00%,103,103
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-control.csv,All data,10,1700,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-control.csv,Questionnaire data,4,680,0,0,0,0.00% - 0.00%,170,170
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-deprivaiton.csv,All data,10,2610,0,0,0,0.00% - 0.00%,261,261
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,1044,0,0,0,0.00% - 0.00%,261,261
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-control.csv,All data,10,680,0,0,0,0.00% - 0.00%,68,68
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-control.csv,Questionnaire data,4,272,0,0,0,0.00% - 0.00%,68,68
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-deprivaiton.csv,All data,16,2656,990,37.27,37.27,0.00% - 37.50%,1,1
1992_eatdis_deprivation,sub-b7da_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,664,0,0,0,0.00% - 0.00%,166,166
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-control.csv,All data,16,4816,1734,36,36,0.00% - 37.50%,12,12
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-control.csv,Questionnaire data,4,1204,0,0,0,0.00% - 0.00%,301,301
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-deprivaiton.csv,All data,17,4114,1684,40.93,40.93,0.00% - 47.06%,2,2
1992_eatdis_deprivation,sub-bb2b_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,968,8,0.83,0.83,0.00% - 50.00%,238,238
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-control.csv,All data,10,2000,0,0,0,0.00% - 0.00%,200,200
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-control.csv,Questionnaire data,4,800,0,0,0,0.00% - 0.00%,200,200
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-deprivaiton.csv,All data,15,4275,1380,32.28,32.28,0.00% - 33.33%,9,9
1992_eatdis_deprivation,sub-bb72_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,1140,0,0,0,0.00% - 0.00%,285,285
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-control.csv,All data,10,1140,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-control.csv,Questionnaire data,4,456,0,0,0,0.00% - 0.00%,114,114
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-deprivaiton.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-bc10_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-control.csv,All data,10,800,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-control.csv,Questionnaire data,4,320,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-deprivaiton.csv,All data,10,560,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-be51_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,224,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-control.csv,All data,10,1760,0,0,0,0.00% - 0.00%,176,176
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-control.csv,Questionnaire data,4,704,0,0,0,0.00% - 0.00%,176,176
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-deprivaiton.csv,All data,10,1440,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-bfb5_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,576,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-control.csv,All data,10,1720,0,0,0,0.00% - 0.00%,172,172
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-control.csv,Questionnaire data,4,688,0,0,0,0.00% - 0.00%,172,172
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-deprivaiton.csv,All data,10,2230,0,0,0,0.00% - 0.00%,223,223
1992_eatdis_deprivation,sub-c4a4_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,892,0,0,0,0.00% - 0.00%,223,223
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-control.csv,All data,10,1760,0,0,0,0.00% - 0.00%,176,176
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-control.csv,Questionnaire data,4,704,0,0,0,0.00% - 0.00%,176,176
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-deprivaiton.csv,All data,10,1440,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-c901_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,576,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-control.csv,All data,10,1480,0,0,0,0.00% - 0.00%,148,148
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-control.csv,Questionnaire data,4,592,0,0,0,0.00% - 0.00%,148,148
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-deprivaiton.csv,All data,10,1230,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-cb3f_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-control.csv,All data,10,1920,0,0,0,0.00% - 0.00%,192,192
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-control.csv,Questionnaire data,4,768,0,0,0,0.00% - 0.00%,192,192
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-deprivaiton.csv,All data,10,1880,0,0,0,0.00% - 0.00%,188,188
1992_eatdis_deprivation,sub-cba4_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,752,0,0,0,0.00% - 0.00%,188,188
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-control.csv,All data,10,1920,0,0,0,0.00% - 0.00%,192,192
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-control.csv,Questionnaire data,4,768,0,0,0,0.00% - 0.00%,192,192
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-deprivaiton.csv,All data,10,1880,0,0,0,0.00% - 0.00%,188,188
1992_eatdis_deprivation,sub-d1b5_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,752,0,0,0,0.00% - 0.00%,188,188
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-control.csv,All data,10,890,0,0,0,0.00% - 0.00%,89,89
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-control.csv,Questionnaire data,4,356,0,0,0,0.00% - 0.00%,89,89
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-deprivaiton.csv,All data,10,400,0,0,0,0.00% - 0.00%,40,40
1992_eatdis_deprivation,sub-d33f_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,160,0,0,0,0.00% - 0.00%,40,40
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-control.csv,All data,10,550,0,0,0,0.00% - 0.00%,55,55
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-control.csv,Questionnaire data,4,220,0,0,0,0.00% - 0.00%,55,55
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-deprivaiton.csv,All data,10,1150,0,0,0,0.00% - 0.00%,115,115
1992_eatdis_deprivation,sub-d379_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,460,0,0,0,0.00% - 0.00%,115,115
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-control.csv,All data,8,904,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-control.csv,Questionnaire data,3,339,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-deprivaiton.csv,All data,9,1665,0,0,0,0.00% - 0.00%,185,185
1992_eatdis_deprivation,sub-d426_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,740,0,0,0,0.00% - 0.00%,185,185
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-control.csv,All data,10,1370,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-control.csv,Questionnaire data,4,548,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-deprivaiton.csv,All data,10,1570,0,0,0,0.00% - 0.00%,157,157
1992_eatdis_deprivation,sub-d706_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,628,0,0,0,0.00% - 0.00%,157,157
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-control.csv,All data,10,280,0,0,0,0.00% - 0.00%,28,28
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-control.csv,Questionnaire data,4,112,0,0,0,0.00% - 0.00%,28,28
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-deprivaiton.csv,All data,10,210,0,0,0,0.00% - 0.00%,21,21
1992_eatdis_deprivation,sub-dc6d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,84,0,0,0,0.00% - 0.00%,21,21
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-control.csv,All data,15,1965,650,33.08,33.08,0.00% - 33.33%,1,1
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-control.csv,Questionnaire data,4,524,0,0,0,0.00% - 0.00%,131,131
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-deprivaiton.csv,All data,10,1870,0,0,0,0.00% - 0.00%,187,187
1992_eatdis_deprivation,sub-de79_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,748,0,0,0,0.00% - 0.00%,187,187
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-control.csv,All data,10,550,0,0,0,0.00% - 0.00%,55,55
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-control.csv,Questionnaire data,4,220,0,0,0,0.00% - 0.00%,55,55
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-deprivaiton.csv,All data,10,1150,0,0,0,0.00% - 0.00%,115,115
1992_eatdis_deprivation,sub-df5d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,460,0,0,0,0.00% - 0.00%,115,115
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-control.csv,All data,10,1800,0,0,0,0.00% - 0.00%,180,180
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-control.csv,Questionnaire data,4,720,0,0,0,0.00% - 0.00%,180,180
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-deprivaiton.csv,All data,10,1840,0,0,0,0.00% - 0.00%,184,184
1992_eatdis_deprivation,sub-e3c3_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,736,0,0,0,0.00% - 0.00%,184,184
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-control.csv,All data,10,910,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-control.csv,Questionnaire data,4,364,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-deprivaiton.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-control.csv,All data,10,970,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-control.csv,Questionnaire data,4,388,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-deprivaiton.csv,All data,10,1170,0,0,0,0.00% - 0.00%,117,117
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,468,0,0,0,0.00% - 0.00%,117,117
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-control.csv,All data,10,1120,0,0,0,0.00% - 0.00%,112,112
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-control.csv,Questionnaire data,4,448,0,0,0,0.00% - 0.00%,112,112
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-deprivaiton.csv,All data,10,1260,8,0.63,0.63,0.00% - 80.00%,125,125
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,504,2,0.4,0.4,0.00% - 50.00%,125,125
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-control.csv,All data,10,600,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-control.csv,Questionnaire data,4,240,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-deprivaiton.csv,All data,10,560,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,224,0,0,0,0.00% - 0.00%,56,56
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-control.csv,All data,8,288,0,0,0,0.00% - 0.00%,36,36
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-control.csv,Questionnaire data,3,108,0,0,0,0.00% - 0.00%,36,36
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-deprivaiton.csv,All data,8,464,0,0,0,0.00% - 0.00%,58,58
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,3,174,0,0,0,0.00% - 0.00%,58,58
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-a.csv,All data,9,2772,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1232,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-b.csv,All data,9,1152,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-b.csv,Questionnaire data,4,512,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-a.csv,All data,9,1359,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-a.csv,Questionnaire data,4,604,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-b.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-b.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-a.csv,All data,9,1449,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-a.csv,Questionnaire data,4,644,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-b.csv,All data,9,1350,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-b.csv,Questionnaire data,4,600,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-a.csv,All data,9,1359,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-a.csv,Questionnaire data,4,604,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-b.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-b.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-a.csv,All data,9,828,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-a.csv,Questionnaire data,4,368,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-b.csv,All data,9,738,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-b.csv,Questionnaire data,4,328,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-a.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-a.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-b.csv,All data,9,1368,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-b.csv,Questionnaire data,4,608,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-a.csv,All data,9,9,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-a.csv,Questionnaire data,4,4,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-b.csv,All data,9,1233,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-b.csv,Questionnaire data,4,548,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-a.csv,All data,9,1359,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-a.csv,Questionnaire data,4,604,0,0,0,0.00% - 0.00%,151,151
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-b.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
