study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1991_ivig_preload,exp-ivig_assay-lunch_data.csv,Macronutrient data,60,3240,0,0,100,0,0% - 0%,12,12
1991_ivig_preload,exp-ivig_assay-lunch_data.csv,Other data,5,270,0,0,100,0,0% - 0%,12,12
1991_ivig_preload,exp-ivig_assay-rating_data.csv,Questionnaire data,7,6552,2134,32.57,67.43,32,30.16% - 37.11%,0,0
1991_ivig_preload,exp-ivig_assay-rating_data.csv,Other data,4,3744,0,0,100,0,0% - 0%,12,12
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,Intake variables,38,1140,18,1.58,98.42,1.58,0% - 2.63%,4,10
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,Macronutrient data,63,1890,60,3.17,96.83,3.17,1.59% - 4.23%,0,10
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,Other data,6,180,20,11.11,88.89,13.33,6.67% - 20%,0,5
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,Questionnaire data,15,540,109,20.19,79.81,20.19,20% - 20.56%,0,0
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,Other data,4,144,0,0,100,0,0% - 0%,3,3
1992_eatdis_deprivation,assay-demo_data.csv,Questionnaire data,7,343,123,35.86,64.14,35.86,0% - 100%,9,24
1992_eatdis_deprivation,assay-demo_data.csv,Other data,6,294,74,25.17,74.83,30.2,0% - 60%,6,6
1992_eatdis_deprivation,assay-intake_data.csv,Intake variables,45,4410,0,0,100,0,0% - 0%,49,49
1992_eatdis_deprivation,assay-intake_data.csv,Macronutrient data,12,1176,0,0,100,0,0% - 0%,49,49
1992_eatdis_deprivation,assay-intake_data.csv,Questionnaire data,26,2548,10,0.39,99.61,0.39,0% - 3.85%,41,49
1992_eatdis_deprivation,assay-intake_data.csv,Other data,8,784,5,0.64,99.36,0.73,0% - 14.29%,45,49
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-control.csv,Other data,10,890,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-deprivaiton.csv,Other data,10,400,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-control.csv,Other data,10,940,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-deprivaiton.csv,Other data,10,1430,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-control.csv,Other data,10,1100,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-deprivaiton.csv,Other data,10,970,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-control.csv,Other data,10,1230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-deprivaiton.csv,Other data,10,1330,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-control.csv,Other data,10,1440,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-deprivaiton.csv,Other data,10,1050,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-control.csv,Other data,8,904,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-deprivaiton.csv,Other data,9,1665,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-control.csv,Other data,10,1720,0,0,100,0,0% - 0%,1,1
