study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-control.csv,Other data,10,910,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-e7ac_assay-microstructure_cond-deprivaiton.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-control.csv,Other data,10,970,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-e874_assay-microstructure_cond-deprivaiton.csv,Other data,10,1170,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-control.csv,Other data,10,1120,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ef17_assay-microstructure_cond-deprivaiton.csv,Other data,10,1260,8,0.63,99.37,0.71,0.71% - 0.71%,0,1
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-control.csv,Other data,10,600,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-f47d_assay-microstructure_cond-deprivaiton.csv,Other data,10,560,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-control.csv,Other data,8,288,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-f5ab_assay-microstructure_cond-deprivaiton.csv,Other data,8,464,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-a.csv,Other data,9,2772,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-015c_assay-microstructure_timepoint-b.csv,Other data,9,1152,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-a.csv,Other data,9,1359,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-044b_assay-microstructure_timepoint-b.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-a.csv,Other data,9,1449,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-117e_assay-microstructure_timepoint-b.csv,Other data,9,1350,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-a.csv,Other data,9,1359,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-12e3_assay-microstructure_timepoint-b.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-a.csv,Other data,9,828,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-26b1_assay-microstructure_timepoint-b.csv,Other data,9,738,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-a.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-2a94_assay-microstructure_timepoint-b.csv,Other data,9,1368,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-a.csv,Other data,9,9,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-31e8_assay-microstructure_timepoint-b.csv,Other data,9,1233,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-a.csv,Other data,9,1359,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-b.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-a.csv,Other data,9,2772,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-b.csv,Other data,9,1152,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-a.csv,Other data,9,558,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-b.csv,Other data,9,567,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-a.csv,Other data,9,2772,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-b.csv,Other data,9,1152,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-a.csv,Other data,9,9,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-b.csv,Other data,9,1233,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-a.csv,Other data,9,558,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-b.csv,Other data,9,567,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-a.csv,Other data,9,1080,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-b.csv,Other data,9,837,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-a.csv,Other data,9,2070,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-b.csv,Other data,9,1881,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-a.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-b.csv,Other data,9,1368,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-a.csv,Other data,9,828,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-b.csv,Other data,9,738,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-b.csv,Other data,9,1107,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-b.csv,Other data,9,1107,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-a.csv,Other data,9,4428,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-b.csv,Other data,9,2475,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-a.csv,Other data,9,1017,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-b.csv,Other data,9,594,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-a.csv,Other data,9,1017,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-b.csv,Other data,9,594,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-a.csv,Other data,9,1449,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-b.csv,Other data,9,1350,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-a.csv,Other data,9,783,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-b.csv,Other data,9,1251,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-a.csv,Other data,9,828,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-b.csv,Other data,9,738,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-a.csv,Other data,9,918,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-b.csv,Other data,9,954,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-a.csv,Other data,9,558,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-b.csv,Other data,9,567,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-a.csv,Other data,9,783,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-b.csv,Other data,9,1251,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-a.csv,Other data,9,918,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-b.csv,Other data,9,954,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-b.csv,Other data,9,630,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-b.csv,Other data,9,630,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-a.csv,Other data,9,1044,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-b.csv,Other data,9,819,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-a.csv,Other data,9,4428,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-b.csv,Other data,9,2475,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-a.csv,Other data,9,1044,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-b.csv,Other data,9,819,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-a.csv,Other data,9,1044,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-b.csv,Other data,9,819,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-a.csv,Other data,9,1449,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-b.csv,Other data,9,1350,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-a.csv,Other data,9,9,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-b.csv,Other data,9,1233,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-a.csv,Other data,9,4428,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-b.csv,Other data,9,2475,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-a.csv,Other data,9,1017,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-b.csv,Other data,9,594,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-a.csv,Other data,9,783,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-b.csv,Other data,9,1251,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-a.csv,Other data,9,1080,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-b.csv,Other data,9,837,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-a.csv,Other data,9,918,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-b.csv,Other data,9,954,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-b.csv,Other data,9,630,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-a.csv,Other data,9,2070,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-b.csv,Other data,9,1881,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-a.csv,Other data,9,1197,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-b.csv,Other data,9,1368,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-a.csv,Other data,9,1089,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-b.csv,Other data,9,1107,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-a.csv,Other data,9,2070,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-b.csv,Other data,9,1881,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-a.csv,Other data,9,1080,0,0,100,0,0% - 0%,1,1
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-b.csv,Other data,9,837,0,0,100,0,0% - 0%,1,1
