study_folder,file_name,variable_name
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_chips
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_cookie
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_cottage_cheese
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_hed_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_led_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_snickers
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_odor_turkey
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_apple
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_chips
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_cookie
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_cottage_cheese
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_hed_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_led_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_snickers
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_taste_turkey
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_apple
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_chips
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_cookie
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_cottage_cheese
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_hed_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_led_salad
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_snickers
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_texture_turkey
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,group
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,id
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_appearance
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_desire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_odor
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_taste
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,uneaten_texture
1990_sociofeed_dannys_dinner,assay-intake_data.csv,alert_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,alert_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,anxiety_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,anxiety_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cho_perc_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cond
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cookie_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,cucumber_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dressing_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_cho
