study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_appearance_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_led_salad,questionnaire,Questionnaire data
